Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
146,3,24,30,04,04,10,3,35,9.000000,01,E,A,3,500000.000,1,4.00,47.62,11.060000,2.060000,1.290000,1.210000,0.000000,0.000000,6.78,6095360.000
147,6,44,15,02,04,4,2,35,0.000000,01,E,A,3,0.000,0,0.00,23.12,6.990000,0.000000,0.000000,0.000000,0.000000,0.000000,7.56,9479200.000
148,0,24,5,02,04,5,2,35,4.000000,01,E,A,3,1300000.000,2,15.81,42.25,11.070000,1.230000,0.560000,4.780000,0.000000,0.000000,17.48,5703750.000
149,5,19,7,04,04,20,11,35,25.000000,09,C,A,4,1000000.000,1,12.59,38.25,7.520000,1.120000,2.930000,3.810000,0.000000,0.000000,4.46,8415000.000
150,5,14,18,06,04,9,5,35,5.000000,01,E,A,3,1200000.000,1,5.86,26.57,17.780000,1.890000,1.030000,4.780000,0.000000,0.000000,18.08,10096600.000
151,5,14,18,06,04,9,5,35,5.000000,01,E,A,3,1500000.000,1,9.95,41.84,17.780000,1.890000,1.030000,4.780000,0.000000,0.000000,18.08,15899200.000
152,6,39,6,02,04,7,2,35,3.000000,01,E,A,4,0.000,0,0.00,55.42,13.400000,2.810000,0.560000,0.000000,0.000000,0.000000,10.44,37131400.000
153,5,18,18,02,04,10,1,10,13.000000,01,E,Z,4,0.000,0,0.00,65.50,20.200000,0.000000,2.950000,0.000000,0.000000,0.000000,9.44,30130000.000
154,5,9,22,02,04,15,3,35,28.000000,01,E,A,4,1300000.000,1,0.00,38.51,7.490000,0.920000,3.230000,2.390000,0.000000,0.000000,5.78,9627500.000
155,6,43,8,01,04,4,2,10,0.000000,01,E,Z,4,0.000,0,0.00,28.22,8.540000,0.000000,0.000000,0.000000,0.000000,0.000000,9.71,16367600.000
156,5,41,5,02,04,4,1,35,0.000000,01,E,A,4,0.000,0,0.00,20.27,6.130000,0.000000,0.000000,0.000000,0.000000,0.000000,5.29,7297200.000
